Rank,School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
267,La Salle University,"Private School, Religious, For Sports Fans","$65,600 ","$121,200 ",46%,6%
267,University of Pittsburgh-Pittsburgh Campus,"Research University, For Sports Fans, State School","$71,800 ","$121,200 ",48%,30%
267,Hampshire College,"Liberal Arts School, Private School","$56,900 ","$121,200 ",53%,14%
267,University of Maryland-Baltimore County,"Research University, For Sports Fans, State School","$72,000 ","$121,200 ",53%,48%
272,Butler University,"Private School, For Sports Fans","$62,300 ","$121,100 ",53%,9%
273,Iona College,"Private School, Religious, For Sports Fans","$66,900 ","$121,000 ",46%,5%
273,Furman University,"Liberal Arts School, Private School, For Sports Fans","$63,100 ","$121,000 ",44%,16%
273,Augustana College,"Liberal Arts School, Private School, Religious","$59,200 ","$121,000 ",47%,25%
273,California State University-East Bay,State School,"$71,200 ","$121,000 ",57%,11%
277,Muhlenberg College,"Liberal Arts School, Private School, Religious","$65,400 ","$120,900 ",49%,18%
278,University of Rhode Island,"Party School, Research University, For Sports Fans, State School","$67,000 ","$120,800 ",52%,20%
279,The College of Wooster,"Liberal Arts School, Private School","$58,600 ","$120,700 ",60%,32%
280,Pacific Lutheran University,"Private School, Religious","$66,300 ","$120,600 ",53%,16%
281,University of Vermont,"Research University, For Sports Fans, State School","$65,700 ","$120,400 ",52%,25%
282,Merrimack College,"Private School, Religious","$66,900 ","$120,300 ",52%,10%
283,DePauw University,"Liberal Arts School, Private School","$70,300 ","$120,200 ",47%,23%
284,Ohio Wesleyan University,"Liberal Arts School, Private School, Religious","$59,400 ","$120,000 ",48%,22%
284,University of Miami,"Private School, Research University, For Sports Fans","$70,200 ","$120,000 ",48%,22%
284,Howard University,"Private School, Research University, For Sports Fans","$68,300 ","$120,000 ",58%,19%
287,California State University-Monterey Bay,State School,"$62,400 ","$119,900 ",53%,14%
287,Smith College,"Liberal Arts School, Private School","$65,100 ","$119,900 ",49%,31%
289,University of Iowa,"Research University, For Sports Fans, State School","$66,300 ","$119,800 ",49%,15%
290,John Carroll University,"Private School, Religious","$61,200 ","$119,700 ",42%,15%
291,Texas Christian University,"Private School, Religious, Research University, For Sports Fans","$68,500 ","$119,600 ",53%,10%
292,University of Oregon,"Research University, For Sports Fans, State School","$63,500 ","$119,500 ",46%,13%
292,Universidad Ana G. Mendez-Cupey Campus,Private School,"$56,500 ","$119,500 ",64%,2%
292,North Central College,"Private School, Religious","$60,100 ","$119,500 ",42%,13%
292,Illinois Wesleyan University,"Liberal Arts School, Private School","$67,800 ","$119,500 ",43%,19%
292,Sonoma State University,State School,"$66,100 ","$119,500 ",55%,11%
292,University of Missouri-Columbia,"Research University, For Sports Fans, State School","$64,400 ","$119,500 ",48%,14%
292,Louisiana State University and Agricultural & Mechanical College,"Research University, For Sports Fans, State School","$65,800 ","$119,500 ",53%,22%
299,Sarah Lawrence College,"Liberal Arts School, Private School","$65,000 ","$119,400 ",34%,0%
300,University of Arizona,"Research University, For Sports Fans, State School","$68,300 ","$119,300 ",51%,24%
